Ranch,Region,Height,Canopy cover,Condition,Leaves taken?,Picture of tree?,Metal tag ID,Tag added? Nov 2025,Notes/comments,Initials of recorder,Date,Initials of Transcriber,Transcriber notes/comments,Double checked?
San Dio,E,above shoulder,NA,Great,N,,9577,,,DP,12/06/2025,DTB,,
San Dio,E,below chest,NA,Great,N,,9578,,stem will grow,DP,12/06/2025,DTB,I'm unsure about my transcription of the comment,
San Dio,E,below hip,NA,Great,N,,9576,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Great,N,,9575,,,DP,12/06/2025,DTB,,
San Dio,E,above neck (nose),NA,Good,N,,9574,,,DP,12/06/2025,DTB,,
San Dio,E,at knee,NA,Great,N,,9573,,New plant by Clarence,DP,12/06/2025,DTB,,
San Dio,E,above head (2mts),NA,Great,N,,9572,,,DP,12/06/2025,DTB,,
San Dio,E,at knee,NA,Good,N,,9571,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9570,,,DP,12/06/2025,DTB,,
San Dio,E,below chest,NA,Good,N,,9569,,,DP,12/06/2025,DTB,,
San Dio,E,at hip,NA,Fine,N,,9568,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Fine,N,,9995,Y,,DP,12/06/2025,DTB,,
San Dio,E,above hip,NA,Fine,N,,9567,,,DP,12/06/2025,DTB,,
San Dio,E,below knee,NA,Poor,N,,9565,,,DP,12/06/2025,DTB,condition was listed as 'not good',
San Dio,E,below knee,NA,Poor,N,,9564,,below Palo Verde,DP,12/06/2025,DTB,,
San Dio,E,below knee,NA,Poor,N,,9563,,below Palo Verde,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Poor,N,,9561,,below Palo Verde,DP,12/06/2025,DTB,condition was listed as 'not good',
San Dio,E,above knee,NA,Poor,N,,9666,Y,,DP,12/06/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9557,,,DP,12/06/2025,DTB,,
San Dio,E,,NA,Dead,N,,9554,,,DP,12/06/2025,DTB,no height recorded,
San Dio,E,,NA,,N,,NA,,No plant (Nothing) before the dead plant,DP,12/06/2025,DTB,no height recorded,
San Dio,E,above knee,NA,Good,N,,9552,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9550,,,DP,12/06/2025,DTB,,
San Dio,E,at knee,NA,Great,N,,9549,,,DP,12/06/2025,DTB,,
San Dio,E,at hip,NA,Great,N,,9547,,,DP,12/06/2025,DTB,,
San Dio,E,at knee,NA,Good,N,,9544,,,DP,12/06/2025,DTB,,
San Dio,E,above knee,NA,Great,N,,9542,,,DP,12/06/2025,DTB,,
San Dio,E,below knee,NA,Poor,N,,9997,Y,,DP,12/06/2025,DTB,,
San Dio,E,above hip,NA,,N,,9998,Y,,DP,12/06/2025,DTB,no condition recorded,
San Dio,E,below hip,NA,Great,N,,9537,,,DP,12/06/2025,DTB,,
San Dio,E,below head,NA,Great,N,,9535,,,DP,12/06/2025,DTB,,
San Dio,E,at waist,NA,Great,N,,9533,,,DP,12/06/2025,DTB,,
San Dio,E,at chest,NA,Great,N,,9531,,,DP,12/06/2025,DTB,,
San Dio,E,below knee,NA,,N,,9894,,,DP,12/06/2025,DTB,condition recorded as 'fine-good',
San Dio,E,below hip,NA,Great,N,,9905,,,DP,12/06/2025,DTB,,
San Dio,E,at knee,NA,Fine,N,,9957,,resprout,DP,12/06/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9896,,,DP,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Fine,N,,492,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,full sun,Poor,N,,497,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,half shade,Fine,N,,498,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Fine,N,,496,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Poor,N,,499,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Good,N,,491,,,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly sun,Poor,N,,493,,good resprout,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half sun,Poor,N,,495,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly sun,Poor,N,,484,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half sun,Poor,N,,487,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly sun,Poor,N,,486,,,AMH,12/06/2025,DTB,,
El Chinal,E,below chest,mostly sun,Good,N,,485,,,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly shade,Poor,N,,488,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Poor,N,,82,Y,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly shade,Fine,N,,489,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,half shade,Fine,N,,483,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Good,N,,477,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Fine,N,,476,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,half shade,Poor,N,,478,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Fine,N,,482,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly shade,Fine,N,,484,,resprouting,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Good,N,,480,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Good,N,,481,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,full shade,Poor,N,,474,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Fine,N,,475,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly sun,Poor,N,,83,Y,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,full shade,Poor,N,,473,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Fine,N,,479,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half sun,Good,N,,472,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Good,N,,467,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly sun,Fine,N,,471,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly shade,Poor,N,,419,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,half shade,Fine,N,,468,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Good,N,,522,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Fine,N,,465,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,full shade,Poor,N,,466,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly shade,Poor,N,,469,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,half shade,Good,N,,500,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly sun,Good,N,,470,,,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly shade,Poor,N,,464,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Good,N,,501,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,full shade,Fine,N,,462,,resprout,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly shade,Poor,N,,463,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly shade,Poor,N,,404,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly sun,Good,N,,460,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,full shade,Fine,N,,461,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly sun,Great,N,,459,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Fine,N,,451,,good resprouts,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly shade,Poor,N,,453,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,half shade,Poor,N,,457,,seemingly sun burnt,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly sun,Poor,N,,85,Y,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half sun,Good,N,,452,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,full sun,Good,N,,454,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly shade,Fine,N,Y,447,,good resprout v far away,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Fine,N,,455,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,half shade,Fine,N,,450,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly shade,Poor,N,,448,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly shade,Fine,N,,449,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,mostly shade,Poor,N,,456,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,mostly sun,Fine,N,,446,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly shade,Fine,N,,508,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Fine,N,,521,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Poor,N,,526,,resprouted,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,partial sun,Fine,N,,504,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,half shade,Fine,N,,518,,,AMH,12/06/2025,DTB,,
El Chinal,E,above knee,half shade,Poor,N,,516,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Poor,N,,505,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Fine,N,,523,,,AMH,12/06/2025,DTB,,
El Chinal,E,above hip,half shade,Fine,N,,515,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly shade,Good,N,,506,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Poor,N,,517,,resprout is good,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Poor,N,,490,,,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly sun,Great,N,,525,,,AMH,12/06/2025,DTB,,
El Chinal,E,above shoulders,mostly shade,Fine,N,,520,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Fine,N,,513,,,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly sun,Poor,N,,509,,only roots alive,AMH,12/06/2025,DTB,,
El Chinal,E,below ankle,mostly sun,Poor,N,,510,,really bad,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Fine,N,,502,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,half shade,Fine,N,,514,,,AMH,12/06/2025,DTB,,
El Chinal,E,above ankle,mostly sun,Fine,N,,512,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,partial sun,Fine,N,,507,,,AMH,12/06/2025,DTB,,
El Chinal,E,below knee,mostly sun,Fine,N,,524,,,AMH,12/06/2025,DTB,,
El Chinal,E,below hip,mostly sun,Fine,N,,503,,,AMH,12/06/2025,DTB,,
