Ranch,Region,Height,Canopy cover,Condition,Leaves taken?,Picture of tree?,Metal tag ID,Tag added? Nov 2025,Notes/comments,Initials of recorder,Date,Initials of Transcriber,Transcriber notes/comments,Double checked?
San Dio,E,below knee,NA,Good,N,,9541,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9540,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Good,N,,9538,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9536,,,AMH,12/6/2025,DTB,,
San Dio,E,above shoulder,NA,Great,N,,9534,,,AMH,12/6/2025,DTB,,
San Dio,E,taller than Dana,NA,Great,N,,9532,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Poor,N,,9530,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9959,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Good,N,,9960,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Poor,N,,9961,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Great,N,,9962,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9963,,,AMH,12/6/2025,DTB,,
San Dio,E,above ankle,NA,Good,N,,9964,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Good,N,,9965,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9966,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Fine,N,,9967,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9968,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9969,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9970,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Fine,N,,9971,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9987,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9988,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Poor,N,,NA,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Fine,N,,9989,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9990,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9991,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Fine,N,,9992,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9993,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Poor,N,,699,Y,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,698,Y,How many are missing?,AMH,12/6/2025,DTB,I'm not sure what this comment means,
San Dio,E,approx 1 Dana,NA,Great,N,,9562,,,AMH,12/6/2025,DTB,,
San Dio,E,below shoulder,NA,Great,N,,9560,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Great,N,,9558,,,AMH,12/6/2025,DTB,,
San Dio,E,taller than Dana,NA,Great,N,Y,9555,,a tree!,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Poor,N,,9553,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Fine,N,,9551,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Good,N,,9548,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Poor,N,,9546,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Good,N,,9545,,,AMH,12/6/2025,DTB,,
San Dio,E,above ankle,NA,Poor,N,,9543,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9972,,a bit of damage,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Fine,N,,9973,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Great,N,,9974,,,AMH,12/6/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9975,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Good,N,,9976,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9977,,close to great,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9978,,,AMH,12/6/2025,DTB,,
San Dio,E,below hip,NA,Good,N,,9979,,,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Good,N,,9980,,close to great,AMH,12/6/2025,DTB,,
San Dio,E,above hip,NA,Great,N,,9981,,,AMH,12/6/2025,DTB,,
San Dio,E,above knee,NA,Great,N,,9982,,,AMH,12/06/2025,DTB,,
San Dio,E,above ankle,NA,Good,N,,9983,,fully dead taller stem,AMH,12/06/2025,DTB,,
San Dio,E,above knee,NA,Fine,N,,9984,,,AMH,12/06/2025,DTB,,
San Dio,E,below knee,NA,Fine,N,,9985,,mostly resprout,AMH,12/06/2025,DTB,,
San Dio,E,above knee,NA,Good,N,,9583,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Great,N,,9582,,,DP,12/06/2025,DTB,,
San Dio,E,at hip,NA,Good,N,,9581,,,DP,12/06/2025,DTB,,
San Dio,E,above knee,NA,Great,N,,9580,,,DP,12/06/2025,DTB,,
San Dio,E,below hip,NA,Great,N,,9579,,,DP,12/06/2025,DTB,,
