QUBR ID,Region,Site,Stake added?,Leaves taken?,Name of recorder,Date,Notes/comments,Transcriber Initials,Transcriber notes/comments,Double checked?
QUBR_2022_0001,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0002,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0003,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0004,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0005,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0006,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0007,N,N/A,Y,Y,AMH,04/04/2024,CIB; 1 leaf taken; big leaves,DTB,,Y
QUBR_2022_0008,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0009,N,N/A,Y,Y,AMH,04/04/2024,CIB; 2 leaves taken; small leaves,DTB,,Y
QUBR_2022_0010,E,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0011,E,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0012,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0013,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0014,E,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0015,E,N/A,Y,Y,AMH,04/04/2024,1 leaf taken; very few leaves,DTB,,Y
QUBR_2022_0016,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0017,N,N/A,Y,Y,AMH,04/04/2024,small leaves,DTB,,Y
QUBR_2022_0018,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0019,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0020,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0021,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0022,N,N/A,Y,Y,AMH,04/04/2024,small leaves,DTB,,Y
QUBR_2022_0023,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0024,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0025,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0026,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0027,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0028,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0029,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0030,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0031,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0032,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0033,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0034,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0035,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0036,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0037,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0038,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0039,E,SD,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0040,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0041,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0042,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0043,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0044,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0045,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0046,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; big leaves,DTB,,Y
QUBR_2022_0047,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0048,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0049,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0050,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0051,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0052,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0053,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0054,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0055,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0056,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0057,N,N/A,Y,Y,AMH,04/04/2024,,DTB,Stray mark on paper- probably an accident?,Y
QUBR_2022_0058,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0059,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0060,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0061,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; big leaves,DTB,,Y
QUBR_2022_0062,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken; small leaves,DTB,,Y
QUBR_2022_0063,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; 1 big leaf; 1 midsize leaf,DTB,,Y
QUBR_2022_0064,N,N/A,Y,Y,AMH,04/04/2024,2 dead stems,DTB,,Y
QUBR_2022_0065,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0066,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0067,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0068,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0069,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0070,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0071,N,LM,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0072,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0073,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0074,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0075,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0076,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0077,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0078,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0079,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0080,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0081,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0082,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; small leaves,DTB,,Y
QUBR_2022_0083,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken; small leaves,DTB,,Y
QUBR_2022_0084,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0085,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0086,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0087,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0088,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0089,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0090,E,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0091,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0092,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0093,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0094,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0095,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0096,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0097,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; big leaves,DTB,,Y
QUBR_2022_0098,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0099,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0100,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0101,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0102,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0103,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0104,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0105,E,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; 1 big leaf,DTB,,Y
QUBR_2022_0106,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0107,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0108,W,LB,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0109,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken,DTB,,Y
QUBR_2022_0110,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken,DTB,,Y
QUBR_2022_0111,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0112,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0113,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0114,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0115,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0116,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0117,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0118,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0119,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0120,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0121,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0122,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0123,N,N/A,N,N,AMH,04/04/2024,not sampled,DTB,stake added' was left blank- I assume this means it was not added,Y
QUBR_2022_0124,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0125,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0126,N,N/A,Y,Y,AMH,04/04/2024,1.5 leaves taken,DTB,,Y
QUBR_2022_0127,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0128,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
