QUBR ID,Region,Site,Stake added?,Leaves taken?,Name of recorder,Date,Notes/comments,Transcriber Initials,Transcriber notes/comments,Double checked?
QUBR_2022_0129,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0130,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0131,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0132,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken; small leaves,DTB,,Y
QUBR_2022_0133,N,N/A,Y,Y,AMH,04/04/2024,7 leaves taken; small leaves,DTB,,Y
QUBR_2022_0134,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0135,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0136,?,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves; flag in soil,DTB,region' listed as ?,Y
QUBR_2022_0137,,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; flag in soil,DTB,region' left blank,Y
QUBR_2022_0138,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0139,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0140,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; big leaves,DTB,,Y
QUBR_2022_0141,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0142,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; 1 big leaf,DTB,,Y
QUBR_2022_0143,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0144,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0145,N,N/A,Y,Y,AMH,04/04/2024,CIB,DTB,,Y
QUBR_2022_0146,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0147,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0148,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0149,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0150,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0151,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0152,N,N/A,Y,Y,AMH,04/04/2024,1.5 leaves taken; 0.5 leaves big,DTB,,Y
QUBR_2022_0153,N,N/A,Y,Y,AMH,04/04/2024,a little necrosis,DTB,,Y
QUBR_2022_0154,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0155,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0156,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0157,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0158,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0159,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken,DTB,,Y
QUBR_2022_0160,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; 1 big leaf,DTB,,Y
QUBR_2022_0161,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; big leaves,DTB,,Y
QUBR_2022_0162,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0163,N,N/A,Y,Y,AMH,04/04/2024,CIB; 2 leaves taken; small leaves,DTB,,Y
QUBR_2022_0164,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0165,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken; big leaves,DTB,,Y
QUBR_2022_0166,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0167,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0168,W,LB,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0169,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken,DTB,,Y
QUBR_2022_0170,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0171,N,N/A,Y,Y,AMH,04/04/2024,big leaves,DTB,,Y
QUBR_2022_0172,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0173,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0174,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0175,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0176,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0177,N,N/A,Y,Y,AMH,04/04/2024,5 leaves taken; small leaves,DTB,,Y
QUBR_2022_0178,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0179,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0180,N,N/A,Y,Y,AMH,04/04/2024,5 leaves taken; small leaves,DTB,,Y
QUBR_2022_0181,N,N/A,Y,Y,AMH,04/04/2024,CIB; 3 leaves taken,DTB,,Y
QUBR_2022_0182,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken,DTB,,Y
QUBR_2022_0183,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0184,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0185,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0186,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; big leaves,DTB,,Y
QUBR_2022_0187,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0188,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken; small leaves,DTB,,Y
QUBR_2022_0189,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0190,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0191,N,N/A,Y,Y,AMH,04/04/2024,5 leaves taken; small leaves,DTB,,Y
QUBR_2022_0192,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0193,E,EC,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0194,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0195,E,EC,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0196,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0197,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0198,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0199,N,N/A,Y,Y,AMH,04/04/2024,CIB; 3 leaves taken,DTB,,Y
QUBR_2022_0200,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; big leaves,DTB,,Y
QUBR_2022_0201,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0202,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0203,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0204,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0205,N,N/A,Y,Y,AMH,04/04/2024,2 leaves taken; small leaves,DTB,,Y
QUBR_2022_0206,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0207,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0208,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0209,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0210,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0211,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0212,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0213,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken; small leaves,DTB,,Y
QUBR_2022_0214,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0215,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0216,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0217,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0218,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0219,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0220,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0221,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0222,E,EC,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0223,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken; small leaves,DTB,,Y
QUBR_2022_0224,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0225,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0226,E,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0227,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0228,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0229,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken; big leaves,DTB,,Y
QUBR_2022_0230,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0231,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0232,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0233,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken; big leaves,DTB,,Y
QUBR_2022_0234,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0235,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0236,E,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0237,N,N/A,Y,N,AMH,04/04/2024,no leaves taken,DTB,,Y
QUBR_2022_0238,N,N/A,Y,Y,AMH,04/04/2024,1 leaf taken,DTB,,Y
QUBR_2022_0239,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0240,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0241,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0242,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0243,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0244,N,N/A,Y,Y,AMH,04/04/2024,4 leaves taken; small leaves,DTB,,Y
QUBR_2022_0245,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0246,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0247,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0248,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0249,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0250,N,N/A,Y,Y,AMH,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0251,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0252,N,N/A,Y,Y,AMH,04/04/2024,,DTB,,Y
QUBR_2022_0253,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0254,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0255,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0256,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0257,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0258,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0259,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0260,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0261,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0262,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0263,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0264,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0265,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0266,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0267,E,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0268,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0269,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0270,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0271,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0272,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0273,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0274,E,SD,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0275,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0276,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0277,E,SD,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0278,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0279,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0280,N,N/A,Y,Y,AK,04/04/2024,1 leaf taken; big leaves,DTB,,Y
QUBR_2022_0281,E,EC,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0282,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0283,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0284,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0285,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0286,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0287,N,N/A,Y,Y,AK,04/04/2024,3 leaves taken,DTB,,Y
QUBR_2022_0288,W,SDo,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0289,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
QUBR_2022_0290,N,N/A,Y,Y,AK,04/04/2024,,DTB,,Y
