Metal_ID,QUBR_ID,locality,lat,long,altitude,altitude_2023,fruiting,DBH_ag,multistemmed,height,Canopy_short,Canopy_long,notes_new_data,notes_old_data,horiz_accuracy_m,vert_accuracy_m,Crown_spread,eccentricity,Canopy_area,positionsourcetype,fixtype,numsats
513,SD_097,SD,23.553389914513097,-109.8501716,396.416115,426,Y,0.498,FALSE,9,8.65,14.78,NA,NA,0.62063062,1.1529538,11.715,0.810852663,100.41079899587356,GPS,RTK,16
519,SD_098,SD,23.55341890082778,-109.8502097,397.215848,426,Y,0.7879999999999999,FALSE,6.5,10.37,11.15,NA,NA,0.36779243,0.66850043,10.76,0.36744603674193055,90.81205534191164,GPS,RTK,20
670,SD_209,SD,23.55353877234677,-109.8502843,396.780722,427,N,0.13,FALSE,5.1,4.78,6.35,NA,NA,0.52806758,0.87312496,5.5649999999999995,0.6582997392655517,23.839190453602747,GPS,RTK,21
512,SD_144,SD,23.55300787099418,-109.8499936,394.1133329999999,429,Y,0.7002817496043395,FALSE,12.2,13.5,14.2,NA,Daniel Tag: 41,0.36836785,0.57374972,13.85,0.31009913882118295,150.56082792329082,GPS,RTK,19
2302,SD_402,SD,23.552791345685737,-109.8505808,395.784625,NA,N,0.4119866502691562,TRUE,10.3,NA,NA,DBH 2: 25.7,NA,0.97748758,1.94423472,NA,NA,NA,GPS,RTK,15
526,SD_095,SD,23.55334741578805,-109.8501571,396.646301,425,Y,0.57,FALSE,3.5,7.72,11.6,NA,NA,0.43336126,0.7475155200000001,9.66,0.7463824766343813,70.33397632856828,GPS,RTK,14
525,SD_143,SD,23.55311576047972,-109.8501976,396.77527,430,Y,0.26738030439438415,FALSE,14.2,12.75,13.7,NA,Daniel Tag: 42,0.37050061,0.6264850700000001,13.225,0.3658929770125381,137.18942419144926,GPS,RTK,17
2307,SD_406,SD,23.552880447696772,-109.850369,394.7186109999999,NA,N,0.198,FALSE,4.7,NA,NA,NA,NA,0.76026491,1.13854688,NA,NA,NA,GPS,RTK,18
179,SD_138,SD,23.553462756615676,-109.8499928,395.978594,426,Y,0.252,FALSE,4.7,4.7,7.2,NA,NA,0.6293018800000001,0.8319369600000001,5.95,0.7575494524052578,26.577873849369652,GPS,RTK,20
517,SD_147,SD,23.552981295731005,-109.8505219,395.175552,420,N,0.7099408426059175,FALSE,5.7,11.16,15.07,"Recorded QUBR ID is incorrect, should have been SD_147",NA,0.62884401,1.22728183,13.115,0.6720077346022988,132.08920559797892,GPS,RTK,19
