Tree Conservation Biology (TCB) ID,Accession ID,Both paper labels transfered into bag?,"Leaf Tissue Condition (Moldy, Necrotic, or Good)","Leaf Tissue Color (Green, Brown, Black)",Weight (g),Comments,Transcriber comments,Transcribe Initials,Double checked?
TCB-05323,QUBR_2022_0168,TRUE,Good,Green,0.181,,,DTB,TRUE
TCB-05324,QUBR_2022_0108,TRUE,Good?,Green,0.170,white/grey splotches,,DTB,TRUE
TCB-05325,QUBR_2022_0499,TRUE,Good,Green,0.076,,,DTB,TRUE
TCB-05326,QUBR_2022_0288,TRUE,Good?,Green,0.143,white/gray splotches,,DTB,TRUE
TCB-05327,QUBR_2022_0481,TRUE,Good?,Green,0.093,white dots and splotches,,DTB,TRUE
TCB-05328,QUBR_2022_0193,TRUE,Good?,Green,0.179,white splotches,,DTB,TRUE
TCB-05329,QUBR_2022_0506,TRUE,Good,Green,0.207,,,DTB,TRUE
TCB-05330,QUBR_2022_0113,TRUE,Good?,Green,0.314,white splotches,,DTB,TRUE
TCB-05331,QUBR_2022_0112,TRUE,Good?,Green,0.253,white splotches,,DTB,TRUE
TCB-05332,QUBR_2022_0111,TRUE,Good,Green,0.113,,,DTB,TRUE
TCB-05333,QUBR_2022_0110,TRUE,Good,Green,0.236,,,DTB,TRUE
TCB-05334,QUBR_2022_0109,TRUE,Good,Green,0.037,,,DTB,TRUE
TCB-05335,QUBR_2022_0107,TRUE,Good?,Green,0.095,white dots,,DTB,TRUE
TCB-05336,QUBR_2022_0106,TRUE,Good?,Green,0.305,white splotches,,DTB,TRUE
TCB-05337,QUBR_2022_0105,TRUE,Good?,Green,0.072,white splotches,,DTB,TRUE
TCB-05338,QUBR_2022_0104,TRUE,Good,Green,0.298,,,DTB,TRUE
TCB-05339,QUBR_2022_0103,TRUE,Good?,Green,0.199,white splotches,,DTB,TRUE
TCB-05340,QUBR_2022_0102,TRUE,Good,Green,0.120,,,DTB,TRUE
TCB-05341,QUBR_2022_0101,TRUE,Good,Green,0.198,,,DTB,TRUE
TCB-05342,QUBR_2022_0100,TRUE,Good?,Green,0.219,white splotches,,DTB,TRUE
TCB-05343,QUBR_2022_0099,TRUE,Good?,Green,0.259,white patches,,DTB,TRUE
TCB-05344,QUBR_2022_0098,TRUE,Good,Green,0.183,,,DTB,TRUE
TCB-05345,QUBR_2022_0097,TRUE,Good,Green,0.356,,,DTB,TRUE
TCB-05346,QUBR_2022_0096,TRUE,Good,Green,0.133,,,DTB,TRUE
TCB-05347,QUBR_2022_0095,TRUE,Good,Green,0.220,,,DTB,TRUE
TCB-05348,QUBR_2022_0094,TRUE,Good?,Green,0.149,white splotches,,DTB,TRUE
TCB-05349,QUBR_2022_0093,TRUE,Good,Green,0.135,,,DTB,TRUE
TCB-05350,QUBR_2022_0092,TRUE,Good,Green,0.141,,,DTB,TRUE
TCB-05351,QUBR_2022_0091,TRUE,Good,Green,0.332,,,DTB,TRUE
TCB-05352,QUBR_2022_0090,TRUE,Good,Green,0.246,,,DTB,TRUE
TCB-05353,QUBR_2022_0088,TRUE,Good?,Green,0.333,white splotches,,DTB,TRUE
TCB-05354,QUBR_2022_0079,TRUE,Good,Green,0.271,,,DTB,TRUE
TCB-05355,QUBR_2022_0089,TRUE,Good,Green,0.211,,,DTB,TRUE
TCB-05356,QUBR_2022_0083,TRUE,Good,Green,0.021,,,DTB,TRUE
TCB-05357,QUBR_2022_0082,TRUE,Good?,Green,0.089,white splotches,,DTB,TRUE
TCB-05358,QUBR_2022_0080,TRUE,Good?,Green,0.336,white splotches,,DTB,TRUE
TCB-05359,QUBR_2022_0078,TRUE,Good?,Green,0.122,white splotches,,DTB,TRUE
TCB-05360,QUBR_2022_0081,TRUE,Good?,Green,0.250,white splotches,,DTB,TRUE
TCB-05361,QUBR_2022_0077,TRUE,Good,Green,0.312,,,DTB,TRUE
TCB-05362,QUBR_2022_0076,TRUE,Good?,Green,0.196,white splotches,,DTB,TRUE
TCB-05363,QUBR_2022_0075,TRUE,Good,Green,0.306,,,DTB,TRUE
TCB-05364,QUBR_2022_0074,TRUE,Good?,Green,0.297,white splotches,,DTB,TRUE
TCB-05365,QUBR_2022_0071,TRUE,Good,Green,0.195,,,DTB,TRUE
TCB-05366,QUBR_2022_0073,TRUE,Good,Green,0.210,,,DTB,TRUE
TCB-05367,QUBR_2022_0070,TRUE,Good,Green,0.175,,,DTB,TRUE
TCB-05368,QUBR_2022_0072,TRUE,Good?,Green,0.299,white splotches,,DTB,TRUE
TCB-05369,QUBR_2022_0087,TRUE,Good,Green,0.228,,,DTB,TRUE
TCB-05370,QUBR_2022_0069,TRUE,Good,Green,0.141,,,DTB,TRUE
TCB-05371,QUBR_2022_0086,TRUE,Good,Green,0.281,,,DTB,TRUE
TCB-05372,QUBR_2022_0084,TRUE,Good,Green,0.183,,,DTB,TRUE
TCB-05373,QUBR_2022_0085,TRUE,Good?,Green,0.285,white splotches,,DTB,TRUE
