Tree Conservation Biology (TCB) ID,Accession ID,Both paper labels transfered into bag?,"Leaf Tissue Condition (Moldy, Necrotic, or Good)","Leaf Tissue Color (Green, Brown, Black)",Weight (g),Comments,Transcriber comments,Transcribe Initials,Double checked?
TCB-05374,QUBR_2022_0068,TRUE,Good?,Green,0.147,white splotches,,DTB,TRUE
TCB-05375,QUBR_2022_0066,TRUE,Good?,Green,0.240,white splotches,,DTB,TRUE
TCB-05376,QUBR_2022_0067,TRUE,Good,Green,0.210,,,DTB,TRUE
TCB-05377,QUBR_2022_0065,TRUE,Good?,Green,0.239,white splotches,,DTB,TRUE
TCB-05378,QUBR_2022_0064,TRUE,Good,Green,0.101,,,DTB,TRUE
TCB-05379,QUBR_2022_0063,TRUE,Good?,Green,0.273,white splotches,,DTB,TRUE
TCB-05380,QUBR_2022_0057,TRUE,Good?,Green,0.171,white splotches,,DTB,TRUE
TCB-05381,QUBR_2022_0055,TRUE,Good?,Green,0.163,white splotches,,DTB,TRUE
TCB-05382,QUBR_2022_0062,TRUE,Good,Green,0.254,,,DTB,TRUE
TCB-05383,QUBR_2022_0061,TRUE,Good?,Green,0.356,white splotches,,DTB,TRUE
TCB-05384,QUBR_2022_0060,TRUE,Good,Green,0.199,,,DTB,TRUE
TCB-05385,QUBR_2022_0059,TRUE,Good?,Green,0.247,white splotches; small brown dots,,DTB,TRUE
TCB-05386,QUBR_2022_0058,TRUE,Good,Green,0.069,,,DTB,TRUE
TCB-05387,QUBR_2022_0056,TRUE,Good?,Green,0.201,white splotches,,DTB,TRUE
TCB-05388,QUBR_2022_0041,TRUE,Good,Green,0.194,,,DTB,TRUE
TCB-05389,QUBR_2022_0054,TRUE,Good,Green,0.239,,,DTB,TRUE
TCB-05390,QUBR_2022_0053,TRUE,Good?,Green,0.159,white splotches,,DTB,TRUE
TCB-05391,QUBR_2022_0052,TRUE,Good?,Green,0.235,tiny brown dots on largest leaf,,DTB,TRUE
TCB-05392,QUBR_2022_0051,TRUE,Good?,Green,0.473,white splotches,,DTB,TRUE
TCB-05393,QUBR_2022_0050,TRUE,Good,Green,0.170,,,DTB,TRUE
TCB-05394,QUBR_2022_0049,TRUE,Good?,Green,0.187,white splotches,,DTB,TRUE
TCB-05395,QUBR_2022_0048,TRUE,Good,Green,0.183,,,DTB,TRUE
TCB-05396,QUBR_2022_0045,TRUE,Good,Green,0.318,,,DTB,TRUE
TCB-05397,QUBR_2022_0047,TRUE,Good,Green,0.332,,,DTB,TRUE
TCB-05398,QUBR_2022_0046,TRUE,Good?,Green,0.227,white splotches,,DTB,TRUE
TCB-05399,QUBR_2022_0044,TRUE,Good?,Green,0.263,white spots,,DTB,TRUE
TCB-05400,QUBR_2022_0043,TRUE,Good?,Green,0.246,white splotches,,DTB,TRUE
TCB-05401,QUBR_2022_0042,TRUE,Good,Green,0.174,,,DTB,TRUE
TCB-05402,QUBR_2022_0040,TRUE,Good,Green,0.224,,,DTB,TRUE
TCB-05403,QUBR_2022_0039,TRUE,Good?,Green,0.185,white splotches,,DTB,TRUE
TCB-05404,QUBR_2022_0038,TRUE,Good?,Green,0.245,white splotches,,DTB,TRUE
TCB-05405,QUBR_2022_0037,TRUE,Good,Green,0.190,,,DTB,TRUE
TCB-05406,QUBR_2022_0036,TRUE,Good?,Green,0.103,mostly green- tip of largest leaf is brown,,DTB,TRUE
TCB-05407,QUBR_2022_0035,TRUE,Good?,Green,0.145,white splotches and rings,,DTB,TRUE
TCB-05408,QUBR_2022_0034,TRUE,Good?,Green,0.214,dark brown spot on largest leaf,,DTB,TRUE
TCB-05409,QUBR_2022_0033,TRUE,Good,Green,0.223,,,DTB,TRUE
TCB-05410,QUBR_2022_0032,TRUE,Good?,Green,0.102,white splotches,,DTB,TRUE
TCB-05411,QUBR_2022_0031,TRUE,Good,Green,0.194,,,DTB,TRUE
TCB-05412,QUBR_2022_0030,TRUE,Good,Green,0.150,,,DTB,TRUE
TCB-05413,QUBR_2022_0029,TRUE,Good,Green,0.146,,,DTB,TRUE
TCB-05414,QUBR_2022_0023,TRUE,Good?,Green,0.111,white splotches,,DTB,TRUE
TCB-05415,QUBR_2022_0026,TRUE,Good?,Green,0.148,white splotches,,DTB,TRUE
TCB-05416,QUBR_2022_0028,TRUE,Good,Green,0.138,,,DTB,TRUE
TCB-05417,QUBR_2022_0027,TRUE,Good,Green,0.170,,,DTB,TRUE
TCB-05418,QUBR_2022_0022,TRUE,Good?,Green,0.088,white splotches,,DTB,TRUE
TCB-05419,QUBR_2022_0025,TRUE,Good?,Green,0.159,white splotches,,DTB,TRUE
TCB-05420,QUBR_2022_0024,TRUE,Good,Green,0.058,,,DTB,TRUE
TCB-05421,QUBR_2022_0021,TRUE,Good,Green,0.114,,,DTB,TRUE
TCB-05422,QUBR_2022_0020,TRUE,Good?,Green,0.133,white splotchesl tiny brown dots/rings,,DTB,TRUE
TCB-05423,QUBR_2022_0019,TRUE,Good?,Green,0.174,white splotches,,DTB,TRUE
TCB-05424,QUBR_2022_0018,TRUE,Good,Green,0.119,,,DTB,TRUE
TCB-05425,QUBR_2022_0017,TRUE,Good?,Green,0.025,some small brown spots; fades from green to yellow,,DTB,TRUE
TCB-05426,QUBR_2022_0016,TRUE,Good?,Green,0.196,white splotches,,DTB,TRUE
TCB-05427,QUBR_2022_0015,TRUE,Good?,Green,0.072,white splotches on back of the leaf,,DTB,TRUE
TCB-05428,QUBR_2022_0008,TRUE,Good?,Green/Brown,0.159,"lighter green patches, one leaf has fully brown tip",,DTB,TRUE
TCB-05429,QUBR_2022_0009,TRUE,Good?,Green,0.068,white splotches; folded,,DTB,TRUE
TCB-05430,QUBR_2022_0005,TRUE,Good,Green,0.137,,,DTB,TRUE
TCB-05431,QUBR_2022_0006,TRUE,Good?,Green,0.162,white splotches; folded,,DTB,TRUE
TCB-05432,QUBR_2022_0007,TRUE,Good?,Green,0.191,large brown patch at the top of the leaf,,DTB,TRUE
TCB-05433,QUBR_2022_0014,TRUE,Good?,Green,0.135,white splotches; some brown lines,,DTB,TRUE
TCB-05434,QUBR_2022_0013,TRUE,Good?,Green,0.099,white patches,,DTB,TRUE
TCB-05435,QUBR_2022_0012,TRUE,Necrotic,Brown,0.166,large black/brown patches with some green tissue,,DTB,TRUE
TCB-05436,QUBR_2022_0004,TRUE,Good,Green,0.233,,,DTB,TRUE
TCB-05437,QUBR_2022_0011,TRUE,Good?,Green,0.106,white splotches,,DTB,TRUE
TCB-05438,QUBR_2022_0003,TRUE,Good,Green,0.198,,,DTB,TRUE
TCB-05439,QUBR_2022_0001,TRUE,Good?,Green,0.071,white and brown splotches,,DTB,TRUE
TCB-05440,QUBR_2022_0010,TRUE,Good,Green,0.124,,,DTB,TRUE
TCB-05441,QUBR_2022_0002,TRUE,Good,Green,0.111,,,DTB,TRUE
TCB-05442,QUBR_2022_0234,TRUE,Good?,Green,0.209,white splotches,,DTB,TRUE
TCB-05443,QUBR_2022_0232,TRUE,Good,Green,0.137,,,DTB,TRUE
TCB-05444,QUBR_2022_0231,TRUE,Good,Green,0.289,,,DTB,TRUE
TCB-05445,QUBR_2022_0230,TRUE,Good?,Green,0.167,white splotches; tiny brown spots,,DTB,TRUE
TCB-05446,QUBR_2022_0227,TRUE,Good?,Green,0.259,white splotches,,DTB,TRUE
TCB-05447,QUBR_2022_0226,TRUE,Good?,Green,0.134,white splotches; one light brown spot,,DTB,TRUE
TCB-05448,QUBR_2022_0025,TRUE,Good?,Green,0.270,white splotches,,DTB,TRUE
TCB-05449,QUBR_2022_0222,TRUE,Good,Green,0.109,,,DTB,TRUE
TCB-05450,QUBR_2022_0240,TRUE,Good?,Green,0.211,white slpotches; pale green,,DTB,TRUE
TCB-05451,QUBR_2022_0233,TRUE,Good?,Green,0.180,white splotches,,DTB,TRUE
TCB-05452,QUBR_2022_0229,TRUE,Good,Green,0.223,,,DTB,TRUE
TCB-05453,QUBR_2022_0228,TRUE,Good?,Green,0.325,white splotches,,DTB,TRUE
TCB-05454,QUBR_2022_0175,TRUE,Good?,Green,0.260,white splotches,,DTB,TRUE
TCB-05455,QUBR_2022_0224,TRUE,Good?,Green,0.145,white splotches,,DTB,TRUE
TCB-05456,QUBR_2022_0223,TRUE,Good?,Green,0.165,white patches,,DTB,TRUE
TCB-05457,QUBR_2022_0221,TRUE,Good,Green,0.204,,,DTB,TRUE
TCB-05458,QUBR_2022_0220,TRUE,Good?,Green,0.283,white splotches,,DTB,TRUE
TCB-05459,QUBR_2022_0218,TRUE,Good?,Green,0.414,small white spots,,DTB,TRUE
TCB-05460,QUBR_2022_0219,TRUE,Good,Green,0.170,,,DTB,TRUE
TCB-05461,QUBR_2022_0211,TRUE,Good?,Green,0.238,white splotches,,DTB,TRUE
TCB-05462,QUBR_2022_0217,TRUE,Good?,Green,0.182,large white splotches,,DTB,TRUE
TCB-05463,QUBR_2022_0210,TRUE,Good?,Green,0.186,faded white patches; brown lines on back of leaf,,DTB,TRUE
TCB-05464,QUBR_2022_0216,TRUE,Good,Green,0.262,,,DTB,TRUE
TCB-05465,QUBR_2022_0209,TRUE,Good?,Green,0.186,white splotches,,DTB,TRUE
TCB-05466,QUBR_2022_0207,TRUE,Good?,Green,0.137,tiny white spots,,DTB,TRUE
TCB-05467,QUBR_2022_0215,TRUE,Good?,Green,0.279,,,DTB,TRUE
TCB-05468,QUBR_2022_0208,TRUE,Good?,Green,0.194,white splotches,,DTB,TRUE
TCB-05469,QUBR_2022_0206,TRUE,Good,Green,0.271,,,DTB,TRUE
TCB-05470,QUBR_2022_0214,TRUE,Good,Green,0.228,some faded patches,,DTB,TRUE
TCB-05471,QUBR_2022_0205,TRUE,Good,Green,0.039,,,DTB,TRUE
TCB-05472,QUBR_2022_0201,TRUE,Good?,Green,0.360,pale green/white patches,,DTB,TRUE
TCB-05473,QUBR_2022_0204,TRUE,Good?,Green,0.230,white splotches,,DTB,TRUE
TCB-05474,QUBR_2022_0212,TRUE,Good?,Green,0.260,white splotches; tiny black dots on largest leaf,,DTB,TRUE
TCB-05475,QUBR_2022_0203,TRUE,Good,Green,0.071,,,DTB,TRUE
TCB-05476,QUBR_2022_0202,TRUE,Good,Green,0.107,,,DTB,TRUE
TCB-05477,QUBR_2022_0200,TRUE,Good?,Green,0.344,white splotches,,DTB,TRUE
TCB-05478,QUBR_2022_0199,TRUE,Good?,Green,0.273,white splotches,,DTB,TRUE
TCB-05479,QUBR_2022_0198,TRUE,Good?,Green,0.294,faded white patches,,DTB,TRUE
TCB-05480,QUBR_2022_0195,TRUE,Good?,Green,0.112,white splotches,,DTB,TRUE
TCB-05481,QUBR_2022_0187,TRUE,Good?,Green,0.273,large white/faded patches,,DTB,TRUE
TCB-05482,QUBR_2022_0196,TRUE,Good?,Green,0.311,white splotches,,DTB,TRUE
TCB-05483,QUBR_2022_0213,TRUE,Good?,Green,0.138,white splotches,,DTB,TRUE
TCB-05484,QUBR_2022_0194,TRUE,Good?,Green,0.219,white splotches,,DTB,TRUE
TCB-05485,QUBR_2022_0192,TRUE,Good,Green,0.211,,,DTB,TRUE
TCB-05486,QUBR_2022_0180,TRUE,Good?,Green,0.191,largest leaf has a brown tip (possibly necrotic),,DTB,TRUE
TCB-05487,QUBR_2022_0179,TRUE,Good?,Green,0.286,white splotches,,DTB,TRUE
TCB-05488,QUBR_2022_0191,TRUE,Good,Green,0.061,,,DTB,TRUE
TCB-05489,QUBR_2022_0189,TRUE,Good,Green,0.179,,,DTB,TRUE
TCB-05490,QUBR_2022_0188,TRUE,Good?,Green,0.162,white splotches,,DTB,TRUE
TCB-05491,QUBR_2022_0197,TRUE,Good,Green,0.293,,,DTB,TRUE
TCB-05492,QUBR_2022_0186,TRUE,Good,Green,0.240,,,DTB,TRUE
TCB-05493,QUBR_2022_0185,TRUE,Good,Green,0.169,,,DTB,TRUE
TCB-05494,QUBR_2022_0190,TRUE,Good?,Green,0.256,white splotches,,DTB,TRUE
TCB-05495,QUBR_2022_0184,TRUE,Good?,Green,0.205,white splotches,,DTB,TRUE
TCB-05496,QUBR_2022_0183,TRUE,Good?,Green,0.169,white splotches,,DTB,TRUE
TCB-05497,QUBR_2022_0182,TRUE,Good?,Green,0.383,white patches; some leaves have brown spots,,DTB,TRUE
TCB-05498,QUBR_2022_0181,TRUE,Good?,Green,0.304,white splotches,,DTB,TRUE
TCB-05499,QUBR_2022_0177,TRUE,Good,Green,0.150,,,DTB,TRUE
TCB-05500,QUBR_2022_0178,TRUE,Good?,Green,0.242,white splotches,,DTB,TRUE
TCB-05501,QUBR_2022_0176,TRUE,Good,Green,0.231,,,DTB,TRUE
TCB-05502,QUBR_2022_0174,TRUE,Good?,Green,0.271,small white dots,,DTB,TRUE
TCB-05503,QUBR_2022_0173,TRUE,Good?,Green,0.253,one brown patch on the largest leaf,,DTB,TRUE
TCB-05504,QUBR_2022_0165,TRUE,Good?,Green,0.160,white splotches,,DTB,TRUE
TCB-05505,QUBR_2022_0164,TRUE,Good?,Green,0.185,white splotches,,DTB,TRUE
TCB-05506,QUBR_2022_0163,TRUE,Good?,Green,0.067,white splotches,,DTB,TRUE
TCB-05507,QUBR_2022_0172,TRUE,Good,Green,0.184,,,DTB,TRUE
TCB-05508,QUBR_2022_0162,TRUE,Good?,Green/Brown,0.187,white splotches; brown tip on one leaf,,DTB,TRUE
TCB-05509,QUBR_2022_0171,TRUE,Good?,Green,0.270,white splotches,,DTB,TRUE
TCB-05510,QUBR_2022_0170,TRUE,Good,Green,0.149,,,DTB,TRUE
TCB-05511,QUBR_2022_0169,TRUE,Good,Green,0.243,,,DTB,TRUE
TCB-05512,QUBR_2022_0167,TRUE,Good?,Green,0.165,white splotches,,DTB,TRUE
TCB-05513,QUBR_2022_0161,TRUE,Good?,Green,0.064,white splotches,,DTB,TRUE
TCB-05514,QUBR_2022_0166,TRUE,Good?,Green,0.189,white splotches/patches,,DTB,TRUE
TCB-05515,QUBR_2022_0160,TRUE,Good?,Green,0.324,white splotches,,DTB,TRUE
TCB-05516,QUBR_2022_0235,TRUE,Good?,Green,0.223,white splotches,,DTB,TRUE
TCB-05517,QUBR_2022_0159,TRUE,Good,Green,0.173,,,DTB,TRUE
TCB-05518,QUBR_2022_0158,TRUE,Good,Green,0.180,,,DTB,TRUE
TCB-05519,QUBR_2022_0157,TRUE,Good?,Green,0.241,white splotches and brown spot,,DTB,TRUE
TCB-05520,QUBR_2022_0156,TRUE,Good?,Green,0.173,white patches and brown spots,"Leaf tissue color: ""Green (mostly)""",DTB,TRUE
TCB-05521,QUBR_2022_0155,TRUE,Good?,Green,0.141,white splotches; brown spots (1 on each leaf),,DTB,TRUE
TCB-05522,QUBR_2022_0154,TRUE,Good,Green,0.225,,,DTB,TRUE
TCB-05523,QUBR_2022_0153,TRUE,Good?,Green,0.172,white splotches; necrotic brown spot,,DTB,TRUE
TCB-05524,QUBR_2022_0152,TRUE,Good?,Green,0.206,white splotches,,DTB,TRUE
TCB-05525,QUBR_2022_0151,TRUE,Good?,Green,0.163,white splotches,,DTB,TRUE
TCB-05526,QUBR_2022_0150,TRUE,Good?,Green,0.112,white splotches; brown spot,,DTB,TRUE
TCB-05527,QUBR_2022_0149,TRUE,Good,Green,0.315,,,DTB,TRUE
TCB-05528,QUBR_2022_0148,TRUE,Good?,Green,0.134,white splotches; small brown dots,,DTB,TRUE
TCB-05529,QUBR_2022_0147,TRUE,Good?,Green,0.272,white splotches; patch of necrotic tissue,,DTB,TRUE
TCB-05530,QUBR_2022_0146,TRUE,Good,Green,0.160,,,DTB,TRUE
TCB-05531,QUBR_2022_0145,TRUE,Good,Green,0.166,,,DTB,TRUE
TCB-05532,QUBR_2022_0143,TRUE,Good?,Green,0.218,white splotches; brown tips with necrotic tissue,,DTB,TRUE
TCB-05533,QUBR_2022_0142,TRUE,Good,Green,0.098,,,DTB,TRUE
TCB-05534,QUBR_2022_0144,TRUE,Good,Green,0.173,,,DTB,TRUE
TCB-05535,QUBR_2022_0141,TRUE,Good,Green,0.170,,,DTB,TRUE
TCB-05536,QUBR_2022_0140,TRUE,Good?,Green,0.226,white splotches; one large black spot,,DTB,TRUE
TCB-05537,QUBR_2022_0139,TRUE,Good?,Green,0.203,white splotches,,DTB,TRUE
TCB-05538,QUBR_2022_0138,TRUE,Good?,Green,0.131,white splotches,,DTB,TRUE
TCB-05539,QUBR_2022_0137,TRUE,Good,Green,0.193,,,DTB,TRUE
TCB-05540,QUBR_2022_0136,TRUE,Good?,Green,0.113,white splotches,,DTB,TRUE
TCB-05541,QUBR_2022_0135,TRUE,Good?,Green,0.297,white splotches,,DTB,TRUE
TCB-05542,QUBR_2022_0134,TRUE,Good?,Green,0.299,white splotches,,DTB,TRUE
TCB-05543,QUBR_2022_0133,TRUE,Good?,Green,0.317,white splotches; some light brown spots,,DTB,TRUE
TCB-05544,QUBR_2022_0126,TRUE,Good?,Green,0.131,white splotches,,DTB,TRUE
TCB-05545,QUBR_2022_0125,TRUE,Good?,Green,0.275,white splotches,,DTB,TRUE
TCB-05546,QUBR_2022_0124,TRUE,Good?,Green,0.221,1/2 leaves with necrotic spots,,DTB,TRUE
TCB-05547,QUBR_2022_0122,TRUE,Good,Green,0.179,,,DTB,TRUE
TCB-05548,QUBR_2022_0121,TRUE,Good?,Green,0.229,white splotches,,DTB,TRUE
TCB-05549,QUBR_2022_0132,TRUE,Good?,Green,0.154,pale white splotches,,DTB,TRUE
TCB-05550,QUBR_2022_0131,TRUE,Good,Green,0.255,,,DTB,TRUE
TCB-05551,QUBR_2022_0130,TRUE,Good,Green,0.212,,,DTB,TRUE
TCB-05552,QUBR_2022_0120,TRUE,Good?,Green,0.309,white splotches,,DTB,TRUE
TCB-05553,QUBR_2022_0119,TRUE,Good?,Green,0.154,white splotches,,DTB,TRUE
TCB-05554,QUBR_2022_0118,TRUE,Necrotic,Brown,0.133,brown edges around leaves; center of the leaf is green,,DTB,TRUE
TCB-05555,QUBR_2022_0129,TRUE,Good?,Green,0.336,light white patches,,DTB,TRUE
TCB-05556,QUBR_2022_0128,TRUE,Good,Green,0.220,,,DTB,TRUE
TCB-05557,QUBR_2022_0127,TRUE,Good?,Green,0.217,white splotches,,DTB,TRUE
TCB-05558,QUBR_2022_0239,TRUE,Good?,Green,0.107,white splotches,,DTB,TRUE
TCB-05559,QUBR_2022_0115,TRUE,Good?,Green,0.240,white splotches; brown ends on leaves,,DTB,TRUE
TCB-05560,QUBR_2022_0117,TRUE,Good,Green,0.206,,,DTB,TRUE
TCB-05561,QUBR_2022_0116,TRUE,Good?,Green,0.410,white splotches,,DTB,TRUE
TCB-05562,QUBR_2022_0114,TRUE,Good?,Green,0.147,,,DTB,TRUE
TCB-05563,QUBR_2022_0238,TRUE,Good?,Green,0.063,,,DTB,TRUE
TCB-05564,QUBR_2022_0236,TRUE,Good,Green,0.248,,,DTB,TRUE
TCB-05565,QUBR_2022_0241,TRUE,Good?,Green,0.242,,,DTB,TRUE
TCB-05566,QUBR_2022_0242,TRUE,Good,Green,0.156,,,DTB,TRUE
TCB-05567,QUBR_2022_0244,TRUE,Good?,Green,0.197,,,DTB,TRUE
TCB-05568,QUBR_2022_0247,TRUE,Good,Green,0.246,,,DTB,TRUE
TCB-05569,QUBR_2022_0243,TRUE,Good?,Green,0.210,,,DTB,TRUE
TCB-05570,QUBR_2022_0246,TRUE,Good?,Green,0.227,,,DTB,TRUE
TCB-05571,QUBR_2022_0249,TRUE,Good?,Green,0.197,,,DTB,TRUE
TCB-05572,QUBR_2022_0251,TRUE,Good?,Green,0.228,,,DTB,TRUE
TCB-05573,QUBR_2022_0250,TRUE,Good?,Green,0.245,,,DTB,TRUE
TCB-05574,QUBR_2022_0245,TRUE,Good?,Green,0.264,,,DTB,TRUE
TCB-05575,QUBR_2022_0248,TRUE,Good?,Green,0.211,,,DTB,TRUE
TCB-05576,QUBR_2022_0300,TRUE,Good,Green,0.252,,,DTB,TRUE
TCB-05577,QUBR_2022_0295,TRUE,Good?,Green,0.343,,,DTB,TRUE
TCB-05578,QUBR_2022_0294,TRUE,Good,Green,0.090,,,DTB,TRUE
TCB-05579,QUBR_2022_0293,TRUE,Good,Green,0.091,,,DTB,TRUE
TCB-05580,QUBR_2022_0280,TRUE,Good?,Green,0.100,,,DTB,TRUE
TCB-05581,QUBR_2022_0292,TRUE,Good?,Green,0.277,,,DTB,TRUE
TCB-05582,QUBR_2022_0335,TRUE,Good,Green,0.237,,,DTB,TRUE
TCB-05583,QUBR_2022_0333,TRUE,Good,Green,0.113,,,DTB,TRUE
TCB-05584,QUBR_2022_0330,TRUE,Good?,Green,0.351,tiny brown spots,,DTB,TRUE
TCB-05585,QUBR_2022_0327,TRUE,Good,Green,0.218,,,DTB,TRUE
TCB-05586,QUBR_2022_0302,TRUE,Good?,Green,0.105,white splotches,,DTB,TRUE
TCB-05587,QUBR_2022_0299,TRUE,Good,Green,0.194,,,DTB,TRUE
TCB-05588,QUBR_2022_0298,TRUE,Good?,Green,0.143,small brown spots,,DTB,TRUE
TCB-05589,QUBR_2022_0279,TRUE,Good?,Green,0.188,white splotches,,DTB,TRUE
TCB-05590,QUBR_2022_0278,TRUE,Good?,Green,0.336,white splotches,,DTB,TRUE
TCB-05591,QUBR_2022_0277,TRUE,Good,Green,0.238,,,DTB,TRUE
TCB-05592,QUBR_2022_0296,TRUE,Good,Green,0.172,,,DTB,TRUE
TCB-05593,QUBR_2022_0286,TRUE,Necrotic,Brown/Green,0.247,one large brown patch on biggest leaf; brown spots,,DTB,TRUE
TCB-05594,QUBR_2022_0276,TRUE,Good?,Green,0.111,white splotches,,DTB,TRUE
TCB-05595,QUBR_2022_0297,TRUE,Good,Green,0.152,,,DTB,TRUE
TCB-05596,QUBR_2022_0275,TRUE,Good,Green,0.154,,,DTB,TRUE
TCB-05597,QUBR_2022_0291,TRUE,Good?,Green,0.343,brown specks,,DTB,TRUE
TCB-05598,QUBR_2022_0350,TRUE,Good,Green,0.086,,,DTB,TRUE
TCB-05599,QUBR_2022_0274,TRUE,Good?,Green,0.290,white spots,,DTB,TRUE
TCB-05600,QUBR_2022_0290,TRUE,Good?,Green,0.205,brown spots,,DTB,TRUE
TCB-05601,QUBR_2022_0284,TRUE,Good?,Green,0.255,brown and white patches,,DTB,TRUE
TCB-05602,QUBR_2022_0289,TRUE,Good,Green,0.089,,,DTB,TRUE
TCB-05603,QUBR_2022_0340,TRUE,Good,Green,0.201,,,DTB,TRUE
TCB-05604,QUBR_2022_0326,TRUE,Good?,Green,0.316,brown patches on one leaf,,DTB,TRUE
TCB-05605,QUBR_2022_0287,TRUE,Good?,Green,0.136,tiny brown spots,,DTB,TRUE
TCB-05606,QUBR_2022_0334,TRUE,Good,Green,0.137,,,DTB,TRUE
TCB-05607,QUBR_2022_0324,TRUE,Good,Green,0.061,,,DTB,TRUE
