Name,DP_num,num_loci_polyploid
SH-Q3312,DP11,6
SH-Q3319,DP11,5
SH-Q3322,DP11,5
SH-Q3324,DP11,6
SH-Q3331,DP01,5
SH-Q3337,DP01,4
SH-Q3339,DP01,4
SH-Q3343,DP01,5
SH-Q3347,DP01,5
SH-Q3348,DP01,6
SH-Q3349,DP01,6
SH-Q3351,DP01,6
SH-Q3352,DP01,6
SH-Q3353,DP01,1
SH-Q3378,DP01,3
SH-Q3379,DP01,3
SH-Q3414,DP02,9
SH-Q3426,DP02,1
SH-Q3434,DP02,1
SH-Q3444,DP02,1
SH-Q3470,DP02,1
SH-Q3472,DP02,7
SH-Q3492,DP02,1
SH-Q3493,DP02,3
SH-Q3521,DP03,7
SH-Q3531,DP03,3
SH-Q3559,DP03,1
SH-Q3562,DP03,9
SH-Q3563,DP03,1
SH-Q3568,DP03,6
SH-Q3579,DP03,5
SH-Q3587,DP04,6
SH-Q3607,DP04,5
SH-Q3620,DP04,2
SH-Q3630,DP04,5
SH-Q3632,DP04,6
SH-Q3643,DP04,6
SH-Q3645,DP04,4
SH-Q3647,DP04,6
SH-Q3648,DP04,5
SH-Q3650,DP04,6
SH-Q3652,DP04,5
SH-Q3658,DP04,6
SH-Q3660,DP04,6
SH-Q3664,DP04,6
SH-Q3670,DP04,6
SH-Q3677,DP05,5
SH-Q3700,DP05,5
SH-Q3701,DP05,5
SH-Q3717,DP05,5
SH-Q3725,DP05,5
SH-Q3737,DP05,5
SH-Q3885,DP07,1
SH-Q3952,DP08,1
SH-Q4011,DP01,1
SH-Q4023,DP01,4
SH-Q4026,DP01,5
SH-Q4054,DP01,1
SH-Q4073,DP01,1
SH-Q4081,DP01,5
SH-Q4082,DP01,2
SH-Q4084,DP01,1
SH-Q4085,DP01,1
SH-Q4091_B,DP02,1
SH-Q4092,DP01,1
SH-Q4113,DP02,1
SH-Q4121,DP02,1
SH-Q4125,DP02,1
SH-Q4128,DP02,1
SH-Q4131,DP02,1
SH-Q4151,DP02,1
SH-Q4154,DP02,1
SH-Q4161,DP02,1
SH-Q4164,DP02,1
SH-Q4166,DP02,1
SH-Q4175,DP02,1
SH-Q4179,DP02,1
SH-Q4181,DP02,1
SH-Q4228,DP03,1
SH-Q4242,DP03,2
SH-Q4368,DP03,1
SH-Q4378,DP04,1
SH-Q4385,DP04,1
SH-Q4386,DP04,1
SH-Q4455,DP04,1
SH-Q4459,DP04,3
SH-Q4463,DP05,1
SH-Q4464,DP05,1
SH-Q4473,DP05,1
SH-Q4475,DP05,5
SH-Q4549,DP05,1
SH-Q4585,DP06,1
SH-Q4589,DP06,3
SH-Q4595,DP06,1
SH-Q4624,DP06,2
SH-Q4625,DP06,2
SH-Q4669,DP07,1
SH-Q4701,DP07,1
SH-Q4714,DP07,1
SH-Q4762,DP08,1
SH-Q4792,DP08,1
SH-Q4800,DP08,1
SH-Q4804,DP08,1
SH-Q4939,DP10,1
SH-Q4949,DP10,1
SH-Q4952,DP10,4
SH-Q4959,DP10,1
SH-Q4967,DP10,3
SH-Q5000,DP11,1
SH-Q5337,DP01,5
SH-Q5565,DP08,1
SH-Q5596,DP08,4
SH-Q5610,DP08,6
SH-Q5618,DP08,6
