Name,reamp_loci
SH-Q3303_B,"02_829 , 03_101 , 02_754 "
SH-Q3685,"02_829 , 03_101 "
SH-Q3775,"02_829 , 03_101 , 05_282 , 05_468 , 02_754 "
SH-Q4460,"07_187 , 02_127, 03_250, 02_876 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4518,02_876 
SH-Q4528,"07_187 , Name"
SH-Q4530,"07_187 , Name"
SH-Q4684,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4685,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4686,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4687,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4688,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4689,"07_187 , 02_127, 03_250, 02_876 , 03_284 , 02_774 , 02_829 , 03_101 , 05_282 , 05_468 , 02_754 , Name"
SH-Q4723,03_284 
SH-Q4916,02_754 
SH-Q5012,"07_187 , Name"
